acc,loss,val_acc,val_loss
0.53765060241,0.689826967486,0.5875,0.663038133383
0.595262096774,0.658132978985,0.621875,0.642322531939
0.667842741935,0.608111892016,0.6875,0.579925757647
0.759828629032,0.494105211069,0.663125,0.677538915873
0.824848790323,0.386609287392,0.74375,0.608979397416
0.881552419355,0.280870213263,0.733125,0.677273316681
0.932711693548,0.171331072497,0.739375,0.841988661289
0.950100806452,0.130078375309,0.74625,0.99512130022
0.972278225806,0.0728126680929,0.743125,1.12521129668
0.978578629032,0.0623754507171,0.72,1.19920188785
